KernelId,UserId,CurrentKernelVersionId,DownloadStatus,FolderBatch
12038598,5398846,43810776,ok,0
12037408,5844587,43810114,ok,0
12044683,5862100,43842636,ok,0
12044208,5807263,43848141,ok,0
12039285,5398846,43813088,ok,0
12040625,4136451,43883094,ok,0
12044586,5782160,43900660,ok,0
12053645,5276261,43904846,ok,0
12053908,3514304,43871958,ok,0
12046591,4470942,43844385,ok,0
12043665,5699789,43832977,ok,0
12038596,5404685,43810809,ok,0
12043254,5600814,43837257,ok,0
12049549,5269663,43851628,ok,0
12038601,5398846,43810789,ok,0
12047103,5872429,43844100,ok,0
12035746,5737386,43851960,ok,0
12037527,5666775,43806970,ok,0
12049079,5662933,43849565,ok,0
12042412,1079062,43826947,ok,0
12044694,5699789,43833232,ok,0
12047745,5782685,43845107,ok,0
12044079,5708849,43840484,ok,0
12037776,5248626,43807682,ok,0
12040878,5313073,43849632,ok,0
12049294,5662933,43850117,ok,0
12044102,4281924,43837035,ok,0
12046656,5820511,43890052,ok,0
12035444,5748946,43848026,ok,0
12039895,3650351,43854084,ok,0
12052310,5570687,43861948,ok,0
12044730,5471269,43840743,ok,0
12051383,4709759,43980611,ok,0
12039237,5399021,43812860,ok,0
12049532,2897788,43851559,ok,0
12039356,4246332,43849913,ok,0
12044976,4529917,43838377,ok,0
12037758,5248626,43807532,ok,0
12037992,3543971,43810136,ok,0
12038636,5399021,43810892,ok,0
12047904,5681928,43851829,ok,0
12036192,5755848,43801760,ok,0
12039241,5399021,43812874,ok,0
12053329,5752188,43870696,ok,0
12035703,5851503,43800032,ok,0
12035576,5851503,43800335,ok,0
12052348,5655874,43865643,ok,0
12049233,5662933,43849999,ok,0
12042902,5289169,43828334,ok,0
12035162,5748949,43798589,ok,0
12052970,5874071,43865527,ok,0
12052571,5863643,43863468,ok,0
12041740,4301184,43822145,ok,0
12050456,4682566,43858310,ok,0
12035848,5803445,43810323,ok,0
12044791,5388475,43836279,ok,0
12045055,3231230,43835731,ok,0
12047485,5837513,43844244,ok,0
12036793,3478665,43887987,ok,0
12037409,2946575,43854652,ok,0
12037544,844226,43811712,ok,0
12040335,5303457,43851509,ok,0
12048432,5800870,43851100,ok,0
12039084,5622380,43814739,ok,0
12046406,4979068,43848356,ok,0
12037482,5666775,43806590,ok,0
12038994,3514304,43822474,ok,0
12037287,4389020,43805804,ok,0
12044698,2200393,43833298,ok,0
12036715,5694198,43868929,ok,0
12035773,5755647,43802183,ok,0
12047696,5794227,43853112,ok,0
12036719,262611,43803511,ok,0
12047014,5842207,43842073,ok,0
12053545,5856521,43886801,ok,0
12042208,2078065,43825159,ok,0
12040790,3543971,43819698,ok,0
12047043,5816987,43845880,ok,0
12048449,5662933,43847180,ok,0
12053207,4244996,43865165,ok,0
12049320,5662933,43850415,ok,0
12049204,5662933,43849801,ok,0
12036238,5810066,43814948,ok,0
12036371,1618441,43804238,ok,0
12037987,3542865,43902049,ok,0
12037932,5303457,43851884,ok,0
12049842,5322133,43852529,ok,0
12047091,4489686,43855789,ok,0
12040801,5816987,43833526,ok,0
12038400,5862422,43815639,ok,0
12049400,5662933,43850472,ok,0
12034998,5748946,43798540,ok,0
12043059,2528409,43839453,ok,0
12040720,5871241,43818623,ok,0
12038633,5399021,43810883,ok,0
12036141,2105138,43803219,ok,0
12048519,5662933,43848691,ok,0
12051315,4087632,43909822,ok,0
12074666,5881053,43945262,ok,0
12055435,5662933,43873539,ok,0
12037787,5615819,43929657,ok,0
12074484,5125179,43946222,ok,0
12065816,2057146,43912525,ok,0
12060117,3482267,43936644,ok,0
12069731,5692475,43926485,ok,0
12050727,5672037,43905022,ok,0
12059548,5434787,43892561,ok,0
12069571,1330179,43931648,ok,0
12075181,5125179,43947639,ok,0
12074916,5125179,43947166,ok,0
12064255,1994784,43906215,ok,0
12061642,2334738,43935286,ok,0
12059078,5398846,43886606,ok,0
12061130,3723447,43894731,ok,0
12063985,5779676,43908272,ok,0
12058484,5779676,43892419,ok,0
12074044,5125179,43943558,ok,0
12071478,5872345,43940822,ok,0
12071055,5455199,43939381,ok,0
12060199,5245712,43900801,ok,0
12061034,5240107,43910411,ok,0
12076678,2334738,43954563,ok,0
12057209,4855339,43880016,ok,0
12059134,5399021,43886807,ok,0
12057212,4985113,43907482,ok,0
12062175,4708922,43898165,ok,0
12049868,5650702,43881725,ok,0
12066197,5418286,43918053,ok,0
12054424,3231230,43869651,ok,0
12069047,5554333,43924176,ok,0
12054369,4969299,43876702,ok,0
12059360,4022566,43896779,ok,0
12071677,2840646,43934179,ok,0
12047266,5729033,43930232,ok,0
12060529,1896252,43900583,ok,0
12073992,1319278,43949076,ok,0
12045520,5259671,43936122,ok,0
12071795,5665094,43937883,ok,0
12072002,5285251,43962243,ok,0
12042086,5788123,43896381,ok,0
12061030,4119214,43928026,ok,0
12076177,3531905,43952684,ok,0
12041435,5313073,43902180,ok,0
12055731,5767715,43882689,ok,0
12055264,5538086,43873160,ok,0
12060321,5089519,43903945,ok,0
12040538,4505103,43909568,ok,0
12061850,5227600,43955985,ok,0
12057261,5547117,43888279,ok,0
12073152,5783242,43950785,ok,0
12074931,5672037,43952042,ok,0
12058269,5662933,43883824,ok,0
12070626,4233951,43955048,ok,0
12062233,5474222,43966423,ok,0
12068194,5244233,43920492,ok,0
12063181,4934496,43902072,ok,0
12053452,3907534,43874910,ok,0
12053755,5658906,43872649,ok,0
12059140,5399021,43886828,ok,0
12074473,5851537,43952964,ok,0
12076879,3435540,43968327,ok,0
12063882,5665094,43930364,ok,0
12055379,5662933,43873395,ok,0
12062467,3603660,43899697,ok,0
12074321,5125179,43944364,ok,0
12069641,2807028,43926469,ok,0
12059076,5398846,43886589,ok,0
12059460,5658906,43895779,ok,0
12071593,5842680,43935202,ok,0
12065050,5399021,43909147,ok,0
12055846,4022566,43876676,ok,0
12065546,5490873,43911629,ok,0
12055332,3231230,43875888,ok,0
12072790,4559433,43939041,ok,0
12074910,5001957,43946307,ok,0
12074451,5719258,43944470,ok,0
12070042,2631953,43933143,ok,0
12067944,5566252,43923432,ok,0
12071222,5572873,43931966,ok,0
12074703,4350787,43946009,ok,0
12075465,5125179,43951103,ok,0
12058360,5876630,43886734,ok,0
12054302,3231230,43869184,ok,0
12055629,4233951,43922931,ok,0
12051488,5874522,43968310,ok,0
12073894,5880161,43942559,ok,0
12056109,5641098,43937686,ok,0
12060888,4612698,43916047,ok,0
12070766,5612204,43930993,ok,0
12042782,127882,43895892,ok,0
12064837,5398846,43908294,ok,0
12075299,5125179,43948348,ok,0
12058860,5875082,43886557,ok,0
12055250,5875712,43884564,ok,0
12055506,5001957,43875453,ok,0
12059936,5720797,43921644,ok,0
12074497,5879181,43945812,ok,0
12058294,4152929,43886311,ok,0
12085993,5694370,43991624,ok,0
12083193,5247079,43978858,ok,0
12081689,5682339,44441519,ok,0
12078326,4292261,43973263,ok,0
12080083,5125179,43967081,ok,0
12079009,5125179,43963448,ok,0
12077218,2145674,43964014,ok,0
12074736,5835431,43955837,ok,0
12086457,4648437,43993643,ok,0
12086043,2912103,43989935,ok,0
12046419,828916,44410510,ok,0
12062859,5821703,44020895,ok,0
12071521,5824639,43954664,ok,0
12086248,5600442,44367036,ok,0
12076819,2727133,43957487,ok,0
12070369,486913,44745161,ok,0
12086431,4292285,43991440,ok,0
12086288,5859798,43990411,ok,0
12075445,3135039,43962861,ok,0
12079110,4696991,43990446,ok,0
12079122,5692488,43976097,ok,0
12083439,5247079,43979359,ok,0
12077457,5365310,43958428,ok,0
12077359,5125179,43958689,ok,0
12079989,5743157,43966379,ok,0
12083019,2363180,43978821,ok,0
12079753,5125179,43965490,ok,0
12073057,4111448,44450230,ok,0
12085970,3108093,43989885,ok,0
12050176,5260608,44908299,ok,0
12040529,5742859,44084466,ok,0
12083126,5124977,43979185,ok,0
12086300,4316006,43991074,ok,0
12078061,5365310,43959962,ok,0
12078508,5866395,44062432,ok,0
12073350,4880703,43969934,ok,0
12078848,4233951,43962722,ok,0
12078774,5517599,43961540,ok,0
12085147,4641921,43986603,ok,0
12083788,4486947,43981021,ok,0
12078259,5125179,43960625,ok,0
12056273,3588508,43956859,ok,0
