KernelId,UserId,CurrentKernelVersionId,DownloadStatus,FolderBatch
12034794,2080166,43796342,ok,0
12035120,2080166,43797478,ok,0
12035356,2080166,43798300,ok,0
12035387,2080166,43798418,ok,0
12035410,2080166,43798515,ok,0
12036373,2080166,43802109,ok,0
12036946,2080166,43804383,ok,0
12036965,2080166,43804441,ok,0
12037455,2080166,43806373,ok,0
12037477,2080166,43806466,ok,0
12037589,2080166,43806917,ok,0
12037861,2080166,43807928,ok,0
12037925,2080166,43808191,ok,0
12037981,2080166,43808402,ok,0
12037982,2080166,43808408,ok,0
12037983,2080166,43808412,ok,0
12037984,2080166,43808413,ok,0
12038349,2080166,43809823,ok,0
12038448,2080166,43810212,ok,0
12039470,2080166,43813756,ok,0
12039589,2080166,43814179,ok,0
12039735,2080166,43814755,ok,0
12040390,2080166,43817088,ok,0
12040392,2080166,43817090,ok,0
12040394,2080166,43817093,ok,0
12040395,2080166,43817095,ok,0
12040398,2080166,43817104,ok,0
12040400,2080166,43817108,ok,0
12040403,2080166,43817110,ok,0
12040404,2080166,43817113,ok,0
12040590,2080166,43817782,ok,0
12040612,2080166,43817858,ok,0
12040924,2080166,43818991,ok,0
12040928,2080166,43819015,ok,0
12041135,2080166,43819784,ok,0
12041276,2080166,43820318,ok,0
12041589,2080166,43821492,ok,0
12042336,2080166,43824212,ok,0
12042463,2080166,43824640,ok,0
12042567,2080166,43825029,ok,0
12042981,2080166,43826596,ok,0
12043338,2080166,43827882,ok,0
12043378,2080166,43828027,ok,0
12043811,2080166,43829686,ok,0
12043958,2080166,43830269,ok,0
12044396,2080166,43831948,ok,0
12044561,2080166,43832602,ok,0
12044700,2080166,43833124,ok,0
12045018,2080166,43834280,ok,0
12045971,2080166,43837873,ok,0
12046269,2080166,43838910,ok,0
12046418,2080166,43839461,ok,0
12046420,2080166,43839465,ok,0
12046590,2080166,43840169,ok,0
12047597,2080166,43843940,ok,0
12047837,2080166,43844887,ok,0
12047927,2080166,43845177,ok,0
12048142,2080166,43845963,ok,0
12048159,2080166,43846028,ok,0
12048222,2080166,43846274,ok,0
12048376,2080166,43846813,ok,0
12048412,2080166,43846963,ok,0
12048437,2080166,43847028,ok,0
12048745,2080166,43848084,ok,0
12049237,2080166,43849841,ok,0
12049717,2080166,43852019,ok,0
12051117,2080166,43857131,ok,0
12051159,2080166,43857293,ok,0
12052577,2080166,43862342,ok,0
12052611,2080166,43862473,ok,0
12052666,2080166,43862700,ok,0
12052667,2080166,43862703,ok,0
12052718,2080166,43862915,ok,0
12053344,2080166,43865266,ok,0
12053423,2080166,43865575,ok,0
12053701,2080166,43866729,ok,0
12053847,2080166,43867392,ok,0
12054107,2080166,43868310,ok,0
12054957,2080166,43871541,ok,0
12054959,2080166,43871545,ok,0
12054960,2080166,43871548,ok,0
12054961,2080166,43871551,ok,0
12054963,2080166,43871558,ok,0
12054965,2080166,43871568,ok,0
12054970,2080166,43871585,ok,0
12055012,2080166,43871737,ok,0
12055183,2080166,43872370,ok,0
12055634,2080166,43874134,ok,0
12055645,2080166,43874163,ok,0
12056461,2080166,43877115,ok,0
12056686,2080166,43877836,ok,0
12056692,2080166,43877854,ok,0
12056860,2080166,43878429,ok,0
12057153,2080166,43879437,ok,0
12057393,2080166,43880265,ok,0
12057421,2080166,43880371,ok,0
12057512,2080166,43880668,ok,0
12058297,2080166,43883679,ok,0
12058730,2080166,43885384,ok,0
12058760,2080166,43885503,ok,0
12058813,2080166,43885720,ok,0
12059847,2080166,43889656,ok,0
12060046,2080166,43890372,ok,0
12060758,2080166,43893034,ok,0
12061846,2080166,43897007,ok,0
12061867,2080166,43897088,ok,0
12062112,2080166,43897917,ok,0
12062137,2080166,43897998,ok,0
12062154,2080166,43898052,ok,0
12062161,2080166,43898068,ok,0
12062535,2080166,43899428,ok,0
12062790,2080166,43900419,ok,0
12062987,2080166,43901208,ok,0
12063059,2080166,43901562,ok,0
12063131,2080166,43901901,ok,0
12063229,2080166,43902258,ok,0
12064141,2080166,43905591,ok,0
12064146,2080166,43905608,ok,0
12065064,2080166,43909203,ok,0
12065177,2080166,43909556,ok,0
12065876,2080166,43912256,ok,0
12066240,2080166,43913584,ok,0
12066936,2080166,43916151,ok,0
12066996,2080166,43916336,ok,0
12067313,2080166,43917383,ok,0
12067352,2080166,43917491,ok,0
12067355,2080166,43917506,ok,0
12067427,2080166,43917739,ok,0
12067564,2080166,43918241,ok,0
12067785,2080166,43919117,ok,0
12068026,2080166,43919846,ok,0
12068126,2080166,43920196,ok,0
12068409,2080166,43921336,ok,0
12069269,2080166,43924674,ok,0
12070198,2080166,43928152,ok,0
12070204,2080166,43928174,ok,0
12070474,2080166,43929141,ok,0
12070864,2080166,43930697,ok,0
12071655,2080166,43933541,ok,0
12072630,2080166,43937200,ok,0
12072833,2080166,43938027,ok,0
12073418,2080166,43940152,ok,0
12073658,2080166,43941077,ok,0
12073820,2080166,43941722,ok,0
12073964,2080166,43942245,ok,0
12073999,2080166,43942382,ok,0
12074121,2080166,43942835,ok,0
12074271,2080166,43943396,ok,0
12074840,2080166,43945914,ok,0
12075377,2080166,43948006,ok,0
12075615,2080166,43948910,ok,0
12075862,2080166,43949991,ok,0
12075887,2080166,43950065,ok,0
12075897,2080166,43950100,ok,0
12075903,2080166,43950117,ok,0
12075977,2080166,43950424,ok,0
12076080,2080166,43950779,ok,0
12076205,2080166,43951277,ok,0
12076373,2080166,43952039,ok,0
12076463,2080166,43952406,ok,0
12076500,2080166,43952560,ok,0
12076742,2080166,43953571,ok,0
12077171,2080166,43955350,ok,0
12078302,2080166,43959631,ok,0
12078304,2080166,43959635,ok,0
12078483,2080166,43960337,ok,0
12078731,2080166,43961219,ok,0
12078733,2080166,43961233,ok,0
12078743,2080166,43961264,ok,0
12078753,2080166,43961289,ok,0
12078758,2080166,43961301,ok,0
12078863,2080166,43961613,ok,0
12078969,2080166,43962032,ok,0
12079007,2080166,43962225,ok,0
12079013,2080166,43962246,ok,0
12079022,2080166,43962268,ok,0
12079031,2080166,43962285,ok,0
12079639,2080166,43964637,ok,0
12079655,2080166,43964714,ok,0
12080050,2080166,43966236,ok,0
12080237,2080166,43966907,ok,0
12080244,2080166,43966927,ok,0
12080251,2080166,43966945,ok,0
12080258,2080166,43966960,ok,0
12080261,2080166,43966977,ok,0
12080355,2080166,43967365,ok,0
12080666,2080166,43968654,ok,0
12080751,2080166,43968989,ok,0
12080777,2080166,43969058,ok,0
12080797,2080166,43969141,ok,0
12081345,2080166,43971341,ok,0
12081678,2080166,43972703,ok,0
12081723,2080166,43972836,ok,0
12081850,2080166,43973361,ok,0
12081927,2080166,43973700,ok,0
12082214,2080166,43974666,ok,0
12082429,2080166,43975274,ok,0
12082443,2080166,43975313,ok,0
12082472,2080166,43975419,ok,0
12082521,2080166,43975607,ok,0
12083555,2080166,43979533,ok,0
12083687,2080166,43980171,ok,0
12083733,2080166,43980352,ok,0
12085941,2080166,43988934,ok,0
12086437,2080166,43990828,ok,0
12086469,2080166,43990960,ok,0
12086678,2080166,43991751,ok,0
12086889,2080166,43992643,ok,0
12086893,2080166,43992652,ok,0
12087056,2080166,43993366,ok,0
12087182,2080166,43993883,ok,0
12087438,2080166,43994970,ok,0
12088176,2080166,43998180,ok,0
12088379,2080166,43999106,ok,0
12088383,2080166,43999112,ok,0
12088464,2080166,43999459,ok,0
12089350,2080166,44002931,ok,0
12090466,2080166,44007263,ok,0
12090510,2080166,44007418,ok,0
12090568,2080166,44007629,ok,0
12090579,2080166,44007659,ok,0
12090587,2080166,44007680,ok,0
12090590,2080166,44007697,ok,0
12090597,2080166,44007722,ok,0
12090606,2080166,44007750,ok,0
12090632,2080166,44007853,ok,0
12091156,2080166,44009864,ok,0
12091186,2080166,44009995,ok,0
12091316,2080166,44010468,ok,0
12091893,2080166,44012588,ok,0
12091900,2080166,44012605,ok,0
12091903,2080166,44012625,ok,0
12091908,2080166,44012641,ok,0
12092248,2080166,44014100,ok,0
12092373,2080166,44014558,ok,0
12092385,2080166,44014594,ok,0
